Sample ID,Sample ID 2,Ala,Ala.sd,Asx,Asx.sd,Glx,Glx.sd,Gly,Gly.sd,His,His.sd,Ile,Ile.sd,Leu,Leu.sd,Lys,Lys.sd,Met,Met.sd,Phe,Phe.sd,Thr,Thr.sd,Tyr,Tyr.sd,Val,Val.sd
K6,Microalgae,-9.6,0.2,-13.4,0.1,-12.1,0,-10.7,0.4,,,-11.4,0.5,-18.4,0.1,-10.5,0.3,,,-18.4,0.1,-7.1,0.3,-16.8,0.1,-15.9,0.1
N1,Microalgae,-17.4,0.1,-18.9,0,-20.3,0.1,-21.7,0.4,-19.2,0.6,-21,0.1,-29.7,0.3,-18.1,0,-21.7,0.6,-27,0.1,-11,0.1,-24.8,0.2,-26.4,0.5
N2,Microalgae,-17.4,0.2,-18.2,0.1,-20.3,0.1,-21.9,0.3,-20.8,0.2,-20.6,0.1,-29.3,0.3,-18,0.2,-19.2,0.6,-26.8,0.1,-11.2,0.1,-24.5,0.2,-27.2,0.2
N3,Microalgae,-17.4,0.2,-17.8,0.2,-20.4,0,-21.8,0.6,-21.5,0.2,-19.8,0.1,-29.4,0.2,-17.9,0.2,-21.2,0.4,-26.9,0.1,-10.7,0.1,-24.7,0.2,-27.1,0.1
X1,Microalgae,-17.2,0.1,-16.5,0.1,-24.5,0.3,-14.7,0.1,-25.4,0.7,-26.7,0,-35.1,0,-20.7,0.1,-27.3,0.2,-31.9,0.1,-13.6,0.1,-29.7,0.1,-30.2,0.1
X2,Microalgae,-16,0,-17.4,0.9,-21.4,0,-14.2,0.2,,,-22.8,0.2,-32.7,0,-19.2,0.1,,,-30,0.1,-10.7,0.8,-27.8,0.1,-28,0.1
X3,Microalgae,-16.3,0,-18.3,1.1,-18.9,0,-14.5,0.4,,,-19.3,0.1,-25.2,0.1,-16.4,0.3,,,-25.5,0.1,-9.6,0.5,-23.3,0.1,-23.9,0.2
X4,Microalgae,-3.2,0.2,-6.1,0.1,-9.9,0.4,-8.2,0,,,-11.1,0.1,-18.2,0,-6.2,0.2,,,-16.1,0,-1.3,0.2,-13,0.1,-14.4,0.1
Y1,Microalgae,-11.1,0.1,-12.2,0.1,-15.9,0.1,-11.8,0.1,,,-11.8,0.5,-19.3,0.3,-11.4,0.2,,,-19.5,0.1,-4.2,0.3,-17,0.1,-17.1,0.1
gav,Mussels,-13.1,0.1,-15.9,2.1,-13.2,0,-11.9,0.1,-16.9,0.8,-18.6,0.1,-25.1,0.1,-14.3,0.1,-17.3,0.3,-24.2,0.1,-12.9,0.2,-22.7,0.1,-23.2,0.1
sc,Mussels,-12.3,0,-14.2,0.1,-12,0.1,-6.8,0,-13.1,0.2,-16.8,0,-23.4,0,-13.1,0,-15.8,0.1,-22.5,0.1,-11,0.3,-21.3,0.1,-21.5,0.1
T1,Plants,-27.2,0.2,-25.7,1.3,-29.4,0.1,-24.2,0.1,-24.9,0.2,-29.2,0.1,-38.4,0.2,-25.6,0.2,,,-32.5,0.4,-15.7,0.3,-30.3,0.1,-37.1,0.5
T2,Plants,-24.6,0,-25.5,0,-29.1,0,-24.5,0,-32.4,0.8,-30.7,0.1,-39.7,0.4,-27.9,0.1,,,-33.9,0.1,-16.1,2.3,-31.5,0,-36.1,0.2
T3,Plants,-25.1,0.1,-19.9,0.5,-23.7,0.1,-20.1,0.1,-21.5,0.6,-24.2,0.3,-34.4,0.2,-22.5,0.1,,,-27,0.1,-12.6,0.3,-26,0.3,-31.4,0.3
T4,Plants,-27,0,-23,0.6,-26.5,0.1,-23.3,0.1,-26,0.3,-27.4,0.5,-35.3,0.1,-23.9,0.4,-28.9,0.3,-28.8,0,-15.8,0.1,-28.6,0.1,-33.3,0.1
T5,Plants,-25.6,0,-22.7,0.1,-26,0.1,-18.7,0.1,-22.9,0.2,-26.8,0.4,-33.5,0.2,-22.5,0.1,,,-27.7,0,-15.3,0.1,-26,0,-31.6,0.1
T6,Plants,-26.9,0,-22,0.1,-26.4,0.1,-19.3,0.2,-27.3,0.1,-27.1,0.1,-34.4,0.1,-24.9,0.1,-25.6,0.4,-28.9,0.2,-9.9,0.7,-29.3,0,-32,0.1
T7,Plants,-27,0.1,-22,0.6,-25.7,0.1,-21.9,0.2,-27,0.3,-27.5,0.2,-33.6,0.1,-23.5,0.4,-32.2,0.3,-28.7,0.1,-12.6,1,-28.3,0.1,-32.2,0.1
T8,Plants,-26.2,0.2,-19.1,0.1,-25.9,0,-20.2,0.1,-30.1,0.2,-25.2,0.1,-35.2,0.1,-23.9,0.1,-33,0.3,-27.8,0.1,-8.6,0.5,-28.1,0.1,-30.6,0.1
T9,Plants,-26.7,0,-22.9,0.1,-26.8,0,-21.7,0.1,-25.1,0.7,-27.8,0.1,-35.4,0.4,-24.3,0.3,-26.8,0.7,-28.9,0.1,-15.4,0,-29,0.1,-32.6,0.1
T10,Plants,-24.7,0.1,-19.4,0.7,-23.4,0,-19.4,0.4,-23.4,0.9,-25.1,0.3,-34.5,0.4,-23.2,0.4,-28.6,0.2,-26.4,0.1,-11.5,0.1,-27,0.2,-30.5,0.5
T11,Plants,-25.2,0.4,-18.8,0.1,-23.6,0,-18.6,0.2,-25.4,,-23.2,0.1,-33,0.1,-21.8,0.1,-24.5,,-27,0.1,-4.4,0.5,-27.3,0.1,-30,0.2
T12,Plants,-27.3,0.1,-24.1,0,-26.1,0.1,-21.1,0.2,,,-27.6,0.1,-37.2,0.1,-25.6,0.2,,,-29.9,0.1,-18.1,0.4,-28.7,0,-34.1,0.2
